epoch	time	lr	trainloss	testloss	trainacc	testacc	testaccNor
0	62.26	0.01	1.78	1.5	31.9	33.2	47.1
1	62.24	0.01	1.5	1.39	40.0	36.2	52.2
2	61.69	0.01	1.39	1.3	44.0	39.1	55.5
3	61.59	0.01	1.31	1.27	46.3	40.5	56.2
4	61.35	0.01	1.25	1.3	47.4	40.1	57.9
5	61.12	0.01	1.2	1.2	49.6	42.6	60.5
6	62.57	0.01	1.16	1.15	51.0	44.4	63.6
7	60.73	0.01	1.13	1.14	52.1	43.7	63.1
8	61.96	0.01	1.09	1.13	52.8	45.1	64.6
9	61.51	0.01	1.06	1.06	53.8	47.2	67.3
10	60.96	0.01	1.04	1.07	54.6	46.1	65.9
11	61.21	0.01	1.02	1.04	55.2	47.6	67.7
12	61.20	0.01	0.996	1.03	55.7	49.2	68.3
13	61.69	0.01	0.982	1.03	56.3	48.3	68.5
14	61.20	0.01	0.972	1.0	57.0	49.4	69.3
15	61.53	0.01	0.948	0.997	58.1	48.8	69.7
16	61.41	0.01	0.932	0.993	58.2	49.4	69.5
17	61.32	0.01	0.917	0.972	59.2	50.5	70.8
18	61.05	0.01	0.907	0.967	59.2	50.5	70.6
19	60.90	0.01	0.894	0.971	59.4	50.4	70.7
20	61.08	0.01	0.879	0.971	60.1	50.9	71.6
21	62.66	0.01	0.866	0.958	60.8	51.1	71.5
22	61.21	0.01	0.856	0.967	60.7	51.1	71.4
23	62.07	0.01	0.847	0.938	61.4	52.5	72.6
24	61.01	0.01	0.833	0.937	62.0	51.9	72.1
25	62.00	0.01	0.822	0.954	62.5	52.3	71.2
26	61.14	0.01	0.812	0.95	62.7	52.1	72.7
27	61.75	0.01	0.807	0.924	62.6	53.1	72.9
28	63.05	0.01	0.794	0.944	63.1	51.7	72.6
29	61.91	0.01	0.787	0.952	64.1	53.0	72.6
30	61.20	0.0001	0.724	0.875	64.3	54.7	75.2
31	61.01	0.001	0.703	0.878	64.9	54.7	75.1
32	61.15	0.001	0.694	0.879	65.4	55.0	75.5
33	62.12	0.001	0.691	0.874	65.3	55.0	75.9
34	60.69	0.001	0.684	0.873	65.6	55.0	75.4
35	60.73	0.001	0.678	0.877	66.0	54.8	75.3
36	62.09	0.001	0.678	0.874	66.0	54.7	75.2
37	61.44	0.001	0.672	0.883	66.4	54.7	76.1
38	61.03	0.001	0.67	0.883	66.3	54.8	75.4
39	60.84	0.001	0.669	0.886	66.5	54.2	75.6
40	61.83	0.001	0.665	0.88	66.8	54.5	75.6
41	61.17	0.001	0.661	0.883	66.5	54.0	75.4
42	60.78	0.001	0.662	0.886	66.5	55.0	75.6
43	60.80	0.001	0.66	0.887	66.7	54.5	75.5
44	62.13	0.001	0.654	0.893	67.0	54.5	75.5
45	61.11	0.001	0.65	0.882	67.2	54.4	75.3
46	60.88	0.001	0.643	0.901	67.3	54.4	75.8
47	62.24	0.001	0.643	0.886	67.7	54.8	75.4
48	60.75	0.001	0.639	0.887	67.5	54.8	75.4
49	61.30	0.001	0.638	0.888	67.5	54.5	75.9
50	60.98	0.001	0.638	0.891	67.3	54.3	75.3
51	60.60	0.001	0.636	0.901	67.7	53.7	75.0
52	61.59	0.001	0.637	0.895	67.7	54.3	75.6
53	61.03	0.001	0.63	0.896	68.0	54.6	75.6
54	61.00	0.001	0.627	0.904	67.9	54.5	75.3
55	61.10	0.001	0.624	0.9	68.5	54.4	75.6
56	61.45	0.001	0.624	0.899	68.4	54.4	75.2
57	60.94	0.001	0.624	0.906	68.2	53.9	75.4
58	60.92	0.001	0.622	0.904	68.2	54.2	75.7
59	61.18	0.001	0.617	0.902	68.4	54.3	75.5
60	61.35	1e-05	0.609	0.903	68.8	54.2	75.8
61	60.65	0.0001	0.605	0.897	69.2	54.5	75.6
62	60.57	0.0001	0.607	0.903	69.0	54.2	75.7
63	60.57	0.0001	0.602	0.903	69.3	54.5	75.4
64	61.25	0.0001	0.603	0.901	69.0	54.6	75.7
65	60.75	0.0001	0.604	0.895	69.1	54.5	76.0
66	61.43	0.0001	0.598	0.897	69.4	54.5	76.0
67	62.52	0.0001	0.602	0.906	69.1	54.2	75.7
68	60.77	0.0001	0.603	0.904	69.0	54.3	75.5
69	60.64	0.0001	0.6	0.906	69.5	54.5	76.0
70	60.73	0.0001	0.6	0.902	69.2	54.0	75.6
71	60.73	0.0001	0.6	0.898	69.1	54.8	75.5
72	61.08	0.0001	0.6	0.907	69.7	53.7	75.5
73	62.96	0.0001	0.6	0.9	69.2	54.3	75.4
74	60.65	0.0001	0.601	0.902	69.4	54.4	75.8
75	60.69	0.0001	0.599	0.9	69.3	54.6	75.4
76	60.77	0.0001	0.597	0.905	69.5	54.3	75.5
77	60.91	0.0001	0.597	0.903	69.2	54.6	75.6
78	60.86	0.0001	0.597	0.913	69.3	54.1	75.7
79	60.87	0.0001	0.596	0.906	69.6	54.4	75.5
80	60.89	0.0001	0.599	0.896	69.5	54.6	75.4
81	62.74	0.0001	0.597	0.902	69.5	54.7	75.6
82	60.87	0.0001	0.598	0.905	69.3	54.6	75.4
83	60.92	0.0001	0.596	0.901	69.5	54.4	75.7
84	61.32	0.0001	0.594	0.905	69.6	54.6	75.6
85	61.35	0.0001	0.598	0.903	69.4	54.4	75.5
86	60.86	0.0001	0.595	0.905	69.5	54.4	75.3
87	61.59	0.0001	0.595	0.902	69.5	54.1	76.0
88	61.33	0.0001	0.594	0.912	69.8	53.9	75.5
89	61.63	0.0001	0.596	0.902	69.7	54.3	75.7
