epoch	time	lr	trainloss	testloss	trainacc	testacc	testaccNor
0	1984.66	0.01	6.34e+02	1.47	27.7	36.1	44.5
1	2062.81	0.01	6.13e+02	1.24	39.5	44.9	59.2
2	2114.38	0.01	5.93e+02	1.11	45.0	49.5	63.0
3	1983.55	0.01	5.74e+02	1.12	48.7	49.9	64.5
4	2094.54	0.01	5.56e+02	1.01	51.9	53.3	69.4
5	1996.29	0.01	5.39e+02	0.96	53.8	55.5	70.9
6	1968.16	0.01	5.22e+02	0.993	55.6	56.7	70.5
7	4872.36	0.01	5.06e+02	0.876	56.5	59.2	75.2
8	7506.57	0.01	4.89e+02	0.95	57.6	55.4	71.0
9	2861.03	0.01	4.74e+02	0.958	58.2	57.3	71.4
