epoch	time	lr	trainloss	testloss	trainacc	testacc	testaccNor
0	1817.71	0.01	6.34e+02	1.58	26.7	35.0	43.8
1	1804.78	0.01	6.12e+02	1.34	36.8	42.1	52.4
2	1800.35	0.01	5.91e+02	1.24	42.0	45.8	58.3
3	1800.43	0.01	5.72e+02	1.13	45.7	49.0	62.6
4	1800.02	0.01	5.54e+02	1.12	47.4	50.7	63.6
5	1805.76	0.01	5.36e+02	1.2	49.5	49.4	62.0
6	1800.64	0.01	5.19e+02	1.08	50.8	52.5	65.9
7	1800.14	0.01	5.02e+02	1.11	52.1	51.3	64.4
8	1803.09	0.01	4.85e+02	1.11	53.0	51.1	65.2
9	1801.47	0.01	4.68e+02	1.17	53.6	50.3	64.2
