idx     label   predict radius  correct time
0       3       5       0.00095 0       0:07:14.448174
20      7       7       0.159   1       0:07:15.153564
40      4       4       0.457   1       0:07:14.905434
60      7       7       0.457   1       0:07:14.714094
80      8       8       0.434   1       0:07:14.480832
100     4       4       0.22    1       0:07:15.110623
120     8       8       0.315   1       0:07:15.074324
140     6       6       0.152   1       0:07:15.479647
160     2       2       0.271   1       0:07:15.199618
180     0       0       0.338   1       0:07:14.923121
200     5       5       0.236   1       0:07:15.490353
220     7       7       0.425   1       0:07:15.497405
240     1       1       0.457   1       0:07:15.501036
260     8       8       0.118   1       0:07:15.673442
280     9       9       0.431   1       0:07:15.510926
300     6       6       0.457   1       0:07:15.749827
320     3       3       0.174   1       0:07:15.311730
340     2       4       0.362   0       0:07:15.086916
360     9       9       0.255   1       0:07:15.554979
380     6       6       0.457   1       0:07:15.689691
400     9       9       0.457   1       0:07:15.317757
420     4       4       0.425   1       0:07:15.193560
440     1       1       0.457   1       0:07:15.355956
460     5       5       0.262   1       0:07:15.580737
480     8       9       0.27    0       0:07:15.458899
500     4       6       0.105   0       0:07:15.739967
520     5       5       0.425   1       0:07:15.563735
540     1       1       0.438   1       0:07:15.524635
560     0       0       0.457   1       0:07:15.360583
580     4       4       0.457   1       0:07:15.306558
600     8       8       0.159   1       0:07:15.223761
620     7       7       0.358   1       0:07:15.207656
640     5       3       0.384   0       0:07:15.184295
660     9       9       0.457   1       0:07:15.545364
680     9       -1      0.0     0       0:07:15.286688
700     7       7       0.408   1       0:07:15.421511
720     4       -1      0.0     0       0:07:15.828477
740     2       -1      0.0     0       0:07:15.527656
760     3       3       0.236   1       0:07:15.268153
780     9       9       0.457   1       0:07:15.146794
800     7       7       0.457   1       0:07:15.046053
820     6       6       0.258   1       0:07:15.045877
840     7       7       0.457   1       0:07:14.785367
860     4       4       0.272   1       0:07:14.751117
880     8       8       0.311   1       0:07:14.636051
900     2       6       0.12    0       0:07:15.058786
920     6       6       0.431   1       0:14:09.882969
940     9       9       0.457   1       0:07:14.616833
960     9       9       0.115   1       0:07:15.114934
980     2       -1      0.0     0       0:07:14.976059
1000    5       5       0.457   1       0:07:15.576278
1020    1       1       0.457   1       0:07:15.254682
1040    7       5       0.276   0       0:07:15.780648
1060    9       9       0.457   1       0:07:15.441308
1080    6       6       0.457   1       0:07:15.018164
1100    7       7       0.0409  1       0:07:14.757204
1120    5       5       0.0653  1       0:07:14.626405
1140    6       6       0.336   1       0:07:14.693384
1160    8       8       0.23    1       0:07:14.650465
1180    3       3       0.337   1       0:07:14.923589
1200    8       8       0.149   1       0:07:14.614415
1220    9       6       0.212   0       0:07:14.709217
1240    2       6       0.369   0       0:07:14.811661
1260    1       1       0.0398  1       0:07:15.328850
1280    3       5       0.214   0       0:07:15.182659
1300    4       3       0.179   0       0:07:14.868339
1320    7       4       0.14    0       0:07:15.302702
1340    1       1       0.457   1       0:07:15.215169
1360    7       7       0.259   1       0:07:15.538977
1380    4       5       0.283   0       0:07:15.137376
1400    5       5       0.0187  1       0:07:15.127211
1420    4       4       0.165   1       0:07:15.479473
1440    0       0       0.431   1       0:07:15.254990
